_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,not_sure_about_factual_correctness,not_sure_about_factual_correctness:confidence,select_the_answer_that_answers_the_question_best,select_the_answer_that_answers_the_question_best:confidence,id,not_sure_about_factual_correctness_gold,question,select_the_answer_that_answers_the_question_best_gold,wikidata,yago
2341487731,false,finalized,3,6/20/2019 19:27:08,,,wd,0.6829,215,,संसद के सदनों का स्थान क्या है?,,सिटी ऑफ़ वेस्टमिंस्टर,"संयुक्त राजशाही, लंदन, इंग्लैण्ड, ग्रेटर लंदन, सिटी ऑफ़ वेस्टमिंस्टर"
2341487732,false,finalized,3,6/20/2019 19:26:19,,,wd,0.6728,213,,मुझे फ्रांसिस फोर्ड कोपोला द्वारा निर्देशित सभी फिल्मों की सूचि दे ।,,द गॉडफ़ादर,"द गॉडफ़ादर, ड्रेकुला, ड्रेकुला (१९९२ फ़िल्म)"
2341487733,false,finalized,3,6/20/2019 06:59:36,,,yg,1.0,134,,कौन कौन से देशों है अधिक से दो आधिकारिक भाषाओं? ,,"रवाण्डा, पेरू, अफ़्गानिस्तान, कनाडा, पूर्वी तिमोर, सेनेगल, सेशेल्स, चाड, मलेशिया, नॉर्वे, सिएरा लियोन, न्यूज़ीलैण्ड, सूडान, तंज़ानिया, सोमालिया, पाकिस्तान, भारत, डेनमार्क, ज़ाम्बिया, उत्तरी मारियाना द्वीप, स्विट्ज़रलैण्ड, नीदरलैण्ड, ज़िम्बाब्वे, कीनिया, वानूआटू, पापुआ न्यू गिनी, बुरुण्डी, इथियोपिया, घाना, कोमोरोस, माइक्रोनेशिया के संघीकृत राज्य, कांगो लोकतान्त्रिक गणराज्य, चीनी जनवादी गणराज्य, इरित्रिया, फ़िजी, ब्राज़ील, पैराग्वे, ईक्वाडोर, बोलिविया, मेडागास्कर, क्रोएशिया, मॉरीतानिया, मोरक्को, दक्षिण अफ़्रीका, नाईजीरिया, युगाण्डा, इराक, अल्जीरिया, सिंगापुर","पलाउ, मान्चुको, डिरे डावा, सोमाली प्रदेश, उस्मान साम्राज्य, मैसिडोनिया, कोसोवो गणराज्य, युगाण्डा, कांगो लोकतान्त्रिक गणराज्य, रुआण्डा, ज़ांज़ीबार, भारत, किशनगंज, रूसी साम्राज्य, अर्जेण्टीना, ग्रेट ब्रिटेन राजशाही, मकाउ, मंगोल साम्राज्य, चीनी जनवादी गणराज्य, कानपुर, वाराणसी, नांदेड़, जालना, ख़ुशाब, संयुक्त राज्य, स्पेन, मेक्सिको, बोलिविया, पेरू, ईक्वाडोर, पैराग्वे, कातालोनिया, आरागोन, भूमध्यरेखीय गिनी, पोर्टो रीको, उत्तरी आयर्लैण्ड, चेकोस्लोवाकिया, ऑस्ट्रियाई साम्राज्य, प्रशा राज्य, वार्सॉ की डची, डेनमार्क, स्लोवेनिया, स्विट्ज़रलैण्ड, सोमालिया, फ़िनलैण्ड, युक्रेन, स्पेनी साम्राज्य, नाईजीरिया, दक्षिण अफ़्रीका, उत्तरी केप प्रान्त, लिम्पोपो प्रान्त, पश्चिमोत्तर प्रान्त, पश्चिमोत्तर प्रान्त (दक्षिण अफ़्रीका), अमपूमलांगा प्रान्त, फ़्री स्टेट प्रान्त, ख़ाउतेन्ग प्रान्त, नटाल कॉलोनी, इराकी कुर्दिस्तान, अब्बासी ख़िलाफ़त, उमय्यद खिलाफत, रशीदुन खिलाफत, पवित्र रोम साम्राज्य, अंगोला, पुर्तगाली तिमोर, दाग़िस्तान, काराचाए-चरकस्सिया, रूस, दक्षिण ओसेतिया, न्यूज़ीलैण्ड, अफ़ग़ानिस्तान, सलजूक़ साम्राज्य, सिख साम्राज्य, कलात ख़ानत, ख़ारान (रियासत), ख़ारान, नॉर्वे, ऑस्ट्रिया, कुषाण राजवंश, बेल्जियम, दक्षिण अफ़्रीकी संघ, दक्षिण अफ्रीकी गणतंत्र, ऑरेंज रिवर कॉलोनी, ट्रांस्वाल उपनिवेश, मलेशिया, सिंगापुर, लक्ज़मबर्ग, पूर्वी केप प्रान्त, पश्चिमी केप प्रान्त, खोमास प्रदेश, ओमाहेके प्रदेश, कुनेने प्रदेश, जॉर्जिया, श्रीलंका, सिबिर ख़ानत, जिबूती, सोमालीदेश, इरित्रिया, पटना, सिंगरौली, इंग्लैण्ड राज्य, ज़िम्बाब्वे, कोमोरोस, अलास्का, कोर्डोबा खिलाफत, हुन्ज़ा, कनाडा, अमेरिकी समोआ, हाइती, फ़िलीपीन्स, मोरक्को, अल्जीरिया, ग्वेर्नसे, नॉर्थवेस्ट टेरीटरीज़, इज़राइल, स्वाज़ीलैण्ड, सेशेल्स, लिसूतू, मॉरिशस, स्कॉट्लैण्ड, वानूआतू, उत्तरी मारियाना द्वीप, स्कॉट्लैण्ड राज्य, टोगो, मेडागास्कर, काउंटी ऑफ़ फ़्लैंडर्स, मौर्य राजवंश, कवांगो प्रदेश, संघीकृत राज्य माइक्रोनेशिया, कप्रीवी प्रदेश"
2341487734,false,finalized,3,6/20/2019 19:24:53,,,wd,1.0,25,,यूटा के रूप में एक ही समय क्षेत्र में कौन से अमेरिकी राज्य हैं?,,"लॉस एंजेलिस, यूटाह, कैलिफ़ोर्निया, मोन्टाना, एयरड्री, अगौरा हिल्स, कस्टर, दक्षिण डकोटा, चिहुआहुआ, वायोमिंग, एवरेट, एरीजोना, आयडाहो, बेलिंघम, एडमंटन, मोन्रोविया, एनेसाडा, बर्कली, कैलिफोर्निया, पेटलुमा, रिचलैंड, कॉनकॉर्ड, एस्टोरिया, बाइसन, दक्षिण डकोटा, हॉट स्प्रिंग्स, दक्षिण डकोटा, वेनाछेई, वेंचुरा, फुलरटन, सीऐटल, नेब्रास्का, कॉलराडो, नया मेक्सिको, अलामेडा, पोर्टलैंड, ऑरेगॉन, मोसेस लेक, सैन जोस, कैलिफोर्निया, डॅनवर, माउंटेन व्यू, रेडलैंड्स, येलोनाइफ़, फ़िनक्स, सियूदाद हुआरेज़, यलोस्टोन काउंटी, टूकसों, पुएब्लो, रेडिंग, लूविस्टन, याकिमा, टेमेक्यूला, स्टुर्जिस, दक्षिण डकोटा, सॉल्ट लेक सिटी, यूटा, स्पियरफ़िश, दक्षिण डकोटा, केनवीक, पास्को, कैलगरी, पोर्ट एंजेल्स, अल्बुकर्क, बेल्ल फ्लावर, बरबैंक, डुप्री, दक्षिण डकोटा, सेररितोस, सोनोरा, फ़िलिप, दक्षिण डकोटा, फ़्रेस्नो, सांता मोनिका, सिनालोआ, नयारित, पालो आल्टो, ओलंपिया, सलेम, बाखा कैलिफोर्निया सुर, सैन लुइस ओबिस्पो, रिवरसाइड, बिलैंग्स, सैन मातेओ, ओमक, टैकोमा, वैंकूवर, एबरडीन, ओकसनार्ड, टेपीक, मार्टिन, दक्षिण डकोटा, डॅडवुड, दक्षिण डकोटा, वाल्ला वाल्ला, रैपिड सिटी, दक्षिण डकोटा, बोल्डर, लारामी, नुवो कसास ग्रंडिस, विला पार्क, डेलिशियास, हेरोइका सियूदाद दे युरस, फ़ोर्ट पियर, दक्षिण डकोटा, बॉक्स एल्डर, मालिबु, कमार्गो, टिम्बर लेक, दक्षिण डकोटा, किटसॉल्ट","नेब्रास्का, औरिगन, टेक्सस, इडाहो"
2341487735,false,finalized,3,6/20/2019 19:27:52,,,wd,1.0,4,,यू.एस. के किस राज्य में क्षेत्र 51 स्थित है?,,नेवाडा,"[[Lincoln County, Nevada|Lincoln County]], [[Nevada]], U.S."
2341487736,false,finalized,3,6/20/2019 07:04:59,,,yg,1.0,8,,एयर चाइना किस हवाई अड्डे पर सेवा करता है?,,"बेइजिंग कैपिटल अन्तर्राष्ट्रीय विमानक्षेत्र, शंघाई पुडोंग अन्तर्राष्ट्रीय विमानक्षेत्र","बगदाद विमानक्षेत्र, कन्साई अन्तर्राष्ट्रीय विमानक्षेत्र, लंदन हीथ्रो विमानक्षेत्र, शारजाह विमानक्षेत्र, चार्ल्स डि गॉल विमानक्षेत्र, छत्रपति शिवाजी अंतर्राष्ट्रीय विमानक्षेत्र, नरिता अन्तर्राष्ट्रीय विमानक्षेत्र, इंदिरा गांधी अन्तर्राष्ट्रीय विमानक्षेत्र, दुबई अन्तर्राष्ट्रीय विमानक्षेत्र, फ़्रैंकफ़र्ट विमानक्षेत्र, शेरेमेत्येवो अन्तर्राष्ट्रीय विमानक्षेत्र, बेइजिंग कैपिटल अन्तर्राष्ट्रीय विमानक्षेत्र, बाराजास हवाई अड्डा, हांगकांग अन्तर्राष्ट्रीय विमानक्षेत्र, सुवर्णभूमि अन्तर्राष्ट्रीय विमानक्षेत्र, इस्तांबुल अतातुर्क विमानक्षेत्र, सिंगापुर चांगी अन्तर्राष्ट्रीय विमानक्षेत्र, शंघाई पुडोंग अन्तर्राष्ट्रीय विमानक्षेत्र, टोरोंटो पियरसन अन्तर्राष्ट्रीय विमानक्षेत्र, वैंकूवर अन्तरराष्ट्रीय हवाई अड्डा, गुवांगज़ोउ बाइयुन अन्तर्राष्ट्रीय विमानक्षेत्र, हो ची मिन्ह शहर हवाई अड्डे, इंचेयन अन्तर्राष्ट्रीय विमानक्षेत्र, माल्पेन्सा विमानक्षेत्र, निनॉय एक्विनो अन्तर्राष्ट्रीय विमानक्षेत्र, वियना अन्तर्राष्ट्रीय विमानक्षेत्र, डोर‍वल हवाई अड्डा, बेनज़ीर भुट्टो अंतर्राष्ट्रीय हवाई अड्डा, कोपनहेगन विमानक्षेत्र, अल्माटी अन्तर्राष्ट्रीय विमानक्षेत्र, त्रिभुवन अन्तर्राष्ट्रीय विमानक्षेत्र, बोले अन्तर्राष्ट्रीय विमानक्षेत्र, शाह जलाल अन्तर्राष्ट्रीय विमानक्षेत्र, भण्डारनायके अन्तर्राष्ट्रीय विमानक्षेत्र, जोस मारती हवाई अड्डा, जिन्ना अंतरराष्ट्रीय हवाई अड्डे के"
2341487737,false,finalized,3,6/20/2019 19:25:39,,,wd,1.0,286,,विलियम शेटनेर द्वारा निर्देशित फिल्मों में सभी कलाकारों की सूचि दे।,,"पैट्रिक स्टिवर्ट, क्रिस पाइन",पैट्रिक स्टिवर्ट
2341487738,false,finalized,3,6/20/2019 19:27:08,,,yg,0.6829,123,,कौन कौन से संगीतकार लिखा था  अधिकांश पुस्तकें? ,,स्टीफ़न किंग,सत्यजित राय
2341487739,false,finalized,3,6/20/2019 19:27:52,,,wd,1.0,269,,किस भारतीय कंपनी में सबसे अधिक कर्मचारी हैं?,,भारतीय रेल,उत्तर प्रदेश राज्य सड़क परिवहन निगम
2341487740,false,finalized,3,6/20/2019 19:24:53,,,yg,0.6443,57,,कौन सी नदियां जर्मन झील में बहती हैं?,,"राइन नदी, वारता नदी, ओडर नदी","राइन नदी, डैन्यूब नदी, बाल्टिक सागर, उत्तरी सागर, कील नहर, फ़ोर्थ का नदमुख, स्कारबोरो"
2341487741,false,finalized,3,6/20/2019 06:55:55,,,wd,0.6542,411,,एलेक गिनीज की आखिरी फिल्म क्या थी?,,अ स्टार इज़ बोर्न,स्टार वॉर्स एपिसोड IV: अ न्यू होप
2341487742,false,finalized,3,6/20/2019 19:25:39,,,wd,1.0,412,,मुझे लास्ट एक्शन हीरो में अभिनीत सभी कलाकारों के नाम बतायें दो।,,"अर्नोल्ड श्वार्ज़नेगर, सिलवेस्टर स्टैलोन, शेरोन स्टोन, जीन-क्लाउडे वैन डैम",अर्नोल्ड श्वार्ज़नेगर
2341487743,false,finalized,3,6/20/2019 19:24:09,,,wd,1.0,110,, किस देश में सबसे अधिक आधिकारिक भाषाएं हैं?,,भारत,रूस
2341487744,false,finalized,3,6/20/2019 19:26:19,,,yg,1.0,81,, हिमालय पर्वत प्रणाली किन देशो में विस्तारित करती है?,,"चीनी जनवादी गणराज्य, भारत, म्यान्मार, नेपाल, पाकिस्तान, अफ़्गानिस्तान","अफ़ग़ानिस्तान, भारत, पाकिस्तान, म्यान्मा, भूटान, नेपाल, चीनी जनवादी गणराज्य"
2341487745,false,finalized,3,6/20/2019 06:59:36,,,wd,1.0,86,,मुझे बर्लिन में पैदा हुए सभी कलाकारों को दो।,,"माइक वॉन ब्रेमेन, लेनी रीफेन्स्टाल, बेन",लेनी रीफेन्स्टाल
2341487746,false,finalized,3,6/20/2019 19:26:19,,,wd,1.0,84,,सबसे अधिक फिल्में किसने बनाई?,,रोनी स्क्रूवाला,अलका याज्ञिक
2341487747,false,finalized,3,6/20/2019 19:24:09,,,wd,0.6728,369,,अरब के लॉरेंस ने किस सैन्य युद्ध में भाग लिया?,,"प्रथम विश्वयुद्ध, अरब विद्रोह","क्रूसेड, प्रथम विश्व युद्ध, पेरिस शांति सम्मेलन, गोरिल्ला युद्ध"
2341487748,false,finalized,3,6/20/2019 19:27:08,not_sure_about_factual_correctness,1.0,yg,0.6728,410,,क्या था  प्रथम नाम का  बैंड क्वींस का  पत्थर उम्र? ,,"Qotsa, Queens of the stone age, Queens Of The Stone Age, QOTSA, Queens Of The Stone Age, Queens of the stone age, Queens of The Stone Age, Queens Of The Stone Age, Queens of the stoneage, Queens Of the Stoneage, Gamma Ray, Q.O.T.S.A., Qotsa, QOTSA, Queens Of The Stone Age, QOTSA, Queens of the stone age, Queens Of The Stone Age, Qotsa, کویینز او د استون ایج, Qotsa, Queens of stoneage, Queens Of The Stone Age, Queens Of The Stoneage, QotSA, QOTSA, Queens age, Queens of the stone age, Queens of the Stone age, Queens Of The Stone Age, Queens Of The Stone Age, מלכות עידן האבן, קווינז אוף דה סטון אייג', QOTSA, Queens Of The Stone Age, Queens of the stone age, Queens of the stone age, Qotsa, QOTSA, Queens of the Stone Age, 퀸즈 오브 더 스톤 에이지, QOTSA, Queens of the stone age, Queens of the Stone age, Queens of the stoneage, Queens of the Stoneage, Qotsa, QOTSA, Queens Of The Stone Age, Queens Of The Stoneage, QOTSA, Queen of the stone age, Queens of the stone age, Queens Of The Stone Age, Queens of the stoneage, Qotsa, QOTSA, Queens of the stone age, Queens of The Stone Age, Queens Of The Stone Age, Queens of the stoneage, QotSA, Queens Of The Stone Age, Queens Of The Stone Age, Queens Of The Stone Age, QOTSA, Квинс оф д стоун ејџ, Queens of the stone age, Queens Of The Stone Age, Queens of the Stoneage",
2341487749,false,finalized,3,6/20/2019 19:25:39,,,wd,0.6728,306,,सबसे लंबा बास्केटबॉल खिलाड़ी कौन है?,,करीम अद्बुल -जब्बार,माइकल जॉर्डन
